time =  0.12138724327087402
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
11 11, 1000000000
13 13, 1000000000
14 14, 1000000000
15 15, 1000000000
16 16, 1000000000
17 17, 1000000000
18 18, 1000000000
19 19, 1000000000
20 20, 1000000000
time =  5.201558351516724
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 77
1 12,11,10,9,8,7,6,5,4,3,2,1, 69
2 12,11,10,9,8,7,6,5,4,3,2, 60
3 12,11,10,9,8,7,6,5,4,3, 51
4 12,11,10,9,8,7,6,5,4, 41
5 12,11,10,9,8,7,6,5, 38
6 12,11,10,9,8,7,6, 37
7 12,11,10,9,8,7, 31
8 12,11,10,9,8, 27
9 12,11,10,9, 18
10 12,11,10, 9
11 12,11, 2
13 12,13, 5
14 12,13,14, 7
15 12,13,14,15, 16
16 12,13,14,15,16, 25
17 12,13,14,15,16,17, 33
18 12,13,14,15,16,17,18, 39
19 12,13,14,15,16,17,18,19, 40
20 12,13,14,15,16,17,18,19,20, 45
time =  10.220532655715942
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 72
1 12,11,10,9,8,7,6,5,4,3,2,1, 63
2 12,11,10,9,8,7,6,5,4,3,2, 61
3 12,11,10,9,8,7,6,5,4,3, 58
4 12,11,10,9,8,7,6,5,4, 48
5 12,11,10,9,8,7,6,5, 39
6 12,11,10,9,8,7,6, 29
7 12,11,10,9,8,7, 26
8 12,11,10,9,8, 21
9 12,11,10,9, 20
10 12,11,10, 12
11 12,11, 5
13 12,13, 5
14 12,13,14, 6
15 12,13,14,15, 9
16 12,13,14,15,16, 12
17 12,13,14,15,16,17, 20
18 12,13,14,15,16,17,18, 21
19 12,13,14,15,16,17,18,19, 26
20 12,13,14,15,16,17,18,19,20, 36
time =  15.261810779571533
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 80
1 12,11,10,9,8,7,6,5,4,3,2,1, 75
2 12,11,10,9,8,7,6,5,4,3,2, 71
3 12,11,10,9,8,7,6,5,4,3, 65
4 12,11,10,9,8,7,6,5,4, 60
5 12,11,10,9,8,7,6,5, 55
6 12,11,10,9,8,7,6, 47
7 12,11,10,9,8,7, 37
8 12,11,10,9,8, 28
9 12,11,10,9, 18
10 12,11,10, 12
11 12,11, 2
13 12,13, 6
14 12,13,14, 7
15 12,13,14,15, 16
16 12,13,14,15,16, 21
17 12,13,14,15,16,17, 26
18 12,13,14,15,16,17,18, 34
19 12,13,14,15,16,17,18,19, 35
20 12,13,14,15,16,17,18,19,20, 44
time =  20.311757802963257
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 53
1 12,11,10,9,8,7,6,5,4,3,2,1, 51
2 12,11,10,9,8,7,6,5,4,3,2, 43
3 12,11,10,9,8,7,6,5,4,3, 40
4 12,11,10,9,8,7,6,5,4, 34
5 12,11,10,9,8,7,6,5, 27
6 12,11,10,9,8,7,6, 26
7 12,11,10,9,8,7, 25
8 12,11,10,9,8, 19
9 12,11,10,9, 18
10 12,11,10, 10
11 12,11, 5
13 12,13, 8
14 12,13,14, 15
15 12,13,14,15, 18
16 12,13,14,15,16, 19
17 12,13,14,15,16,17, 22
18 12,13,14,15,16,17,18, 23
19 12,13,14,15,16,17,18,19, 28
20 12,13,14,15,16,17,18,19,20, 30
time =  25.331997871398926
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 68
1 12,11,10,9,8,7,6,5,4,3,2,1, 59
2 12,11,10,9,8,7,6,5,4,3,2, 49
3 12,11,10,9,8,7,6,5,4,3, 45
4 12,11,10,9,8,7,6,5,4, 35
5 12,11,10,9,8,7,6,5, 25
6 12,11,10,9,8,7,6, 22
7 12,11,10,9,8,7, 20
8 12,11,10,9,8, 16
9 12,11,10,9, 14
10 12,11,10, 11
11 12,11, 10
13 12,13, 6
14 12,13,14, 15
15 12,13,14,15, 20
16 12,13,14,15,16, 27
17 12,13,14,15,16,17, 34
18 12,13,14,15,16,17,18, 37
19 12,13,14,15,16,17,18,19, 47
20 12,13,14,15,16,17,18,19,20, 55
time =  30.343387126922607
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 71
1 12,11,10,9,8,7,6,5,4,3,2,1, 69
2 12,11,10,9,8,7,6,5,4,3,2, 59
3 12,11,10,9,8,7,6,5,4,3, 55
4 12,11,10,9,8,7,6,5,4, 51
5 12,11,10,9,8,7,6,5, 44
6 12,11,10,9,8,7,6, 42
7 12,11,10,9,8,7, 32
8 12,11,10,9,8, 29
9 12,11,10,9, 19
10 12,11,10, 16
11 12,11, 8
13 12,13, 5
14 12,13,14, 15
15 12,13,14,15, 22
16 12,13,14,15,16, 29
17 12,13,14,15,16,17, 37
18 12,13,14,15,16,17,18, 39
19 12,13,14,15,16,17,18,19, 47
20 12,13,14,15,16,17,18,19,20, 55
time =  35.39779782295227
0 12,11,10,9,8,7,6,5,4,3,2,1,0, 68
1 12,11,10,9,8,7,6,5,4,3,2,1, 58
2 12,11,10,9,8,7,6,5,4,3,2, 51
3 12,11,10,9,8,7,6,5,4,3, 47
4 12,11,10,9,8,7,6,5,4, 43
5 12,11,10,9,8,7,6,5, 35
6 12,11,10,9,8,7,6, 26
7 12,11,10,9,8,7, 25
8 12,11,10,9,8, 16
9 12,11,10,9, 14
10 12,11,10, 11
11 12,11, 9
13 12,13, 2
14 12,13,14, 8
15 12,13,14,15, 15
16 12,13,14,15,16, 17
17 12,13,14,15,16,17, 20
18 12,13,14,15,16,17,18, 26
19 12,13,14,15,16,17,18,19, 29
20 12,13,14,15,16,17,18,19,20, 30
