time =  0.12036275863647461
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
11 11, 1000000000
12 12, 1000000000
13 14,13, 7
15 14,15, 9
16 16, 1000000000
17 17, 1000000000
18 18, 1000000000
19 19, 1000000000
20 20, 1000000000
time =  5.170068979263306
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 81
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 73
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 64
3 14,13,12,11,10,9,8,7,6,5,4,3, 55
4 14,13,12,11,10,9,8,7,6,5,4, 45
5 14,13,12,11,10,9,8,7,6,5, 42
6 14,13,12,11,10,9,8,7,6, 41
7 14,13,12,11,10,9,8,7, 35
8 14,13,12,11,10,9,8, 31
9 14,13,12,11,10,9, 22
10 14,13,12,11,10, 13
11 14,13,12,11, 6
12 14,13,12, 4
13 14,13, 2
15 14,15, 9
16 14,15,16, 18
17 14,15,16,17, 26
18 14,15,16,17,18, 32
19 14,15,16,17,18,19, 33
20 14,15,16,17,18,19,20, 38
time =  10.210551261901855
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 76
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 67
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 65
3 14,13,12,11,10,9,8,7,6,5,4,3, 62
4 14,13,12,11,10,9,8,7,6,5,4, 52
5 14,13,12,11,10,9,8,7,6,5, 43
6 14,13,12,11,10,9,8,7,6, 33
7 14,13,12,11,10,9,8,7, 30
8 14,13,12,11,10,9,8, 25
9 14,13,12,11,10,9, 24
10 14,13,12,11,10, 18
11 14,13,12,11, 11
12 14,13,12, 6
13 14,13, 1
15 14,15, 6
16 14,15,16, 9
17 14,15,16,17, 17
18 14,15,16,17,18, 18
19 14,15,16,17,18,19, 23
20 14,15,16,17,18,19,20, 33
time =  15.2907395362854
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 91
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 86
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 82
3 14,13,12,11,10,9,8,7,6,5,4,3, 76
4 14,13,12,11,10,9,8,7,6,5,4, 71
5 14,13,12,11,10,9,8,7,6,5, 66
6 14,13,12,11,10,9,8,7,6, 58
7 14,13,12,11,10,9,8,7, 48
8 14,13,12,11,10,9,8, 39
9 14,13,12,11,10,9, 29
10 14,13,12,11,10, 23
11 14,13,12,11, 13
12 14,13,12, 7
13 14,13, 1
15 14,15, 9
16 14,15,16, 14
17 14,15,16,17, 19
18 14,15,16,17,18, 27
19 14,15,16,17,18,19, 28
20 14,15,16,17,18,19,20, 37
time =  20.326504468917847
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 79
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 76
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 68
3 14,13,12,11,10,9,8,7,6,5,4,3, 65
4 14,13,12,11,10,9,8,7,6,5,4, 59
5 14,13,12,11,10,9,8,7,6,5, 52
6 14,13,12,11,10,9,8,7,6, 48
7 14,13,12,11,10,9,8,7, 47
8 14,13,12,11,10,9,8, 41
9 14,13,12,11,10,9, 31
10 14,13,12,11,10, 23
11 14,13,12,11, 18
12 14,13,12, 13
13 14,13, 5
15 14,15, 1
16 14,15,16, 11
17 14,15,16,17, 14
18 14,15,16,17,18, 21
19 14,15,16,17,18,19, 26
20 14,15,16,17,18,19,20, 28
time =  25.35832142829895
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 78
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 69
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 59
3 14,13,12,11,10,9,8,7,6,5,4,3, 55
4 14,13,12,11,10,9,8,7,6,5,4, 45
5 14,13,12,11,10,9,8,7,6,5, 35
6 14,13,12,11,10,9,8,7,6, 32
7 14,13,12,11,10,9,8,7, 30
8 14,13,12,11,10,9,8, 26
9 14,13,12,11,10,9, 24
10 14,13,12,11,10, 21
11 14,13,12,11, 20
12 14,13,12, 15
13 14,13, 9
15 14,15, 5
16 14,15,16, 12
17 14,15,16,17, 19
18 14,15,16,17,18, 22
19 14,15,16,17,18,19, 32
20 14,15,16,17,18,19,20, 40
time =  30.397005796432495
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 95
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 86
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 76
3 14,13,12,11,10,9,8,7,6,5,4,3, 72
4 14,13,12,11,10,9,8,7,6,5,4, 68
5 14,13,12,11,10,9,8,7,6,5, 61
6 14,13,12,11,10,9,8,7,6, 56
7 14,13,12,11,10,9,8,7, 46
8 14,13,12,11,10,9,8, 44
9 14,13,12,11,10,9, 34
10 14,13,12,11,10, 31
11 14,13,12,11, 23
12 14,13,12, 15
13 14,13, 10
15 14,15, 2
16 14,15,16, 9
17 14,15,16,17, 17
18 14,15,16,17,18, 19
19 14,15,16,17,18,19, 27
20 14,15,16,17,18,19,20, 35
time =  35.418479204177856
0 14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 76
1 14,13,12,11,10,9,8,7,6,5,4,3,2,1, 66
2 14,13,12,11,10,9,8,7,6,5,4,3,2, 59
3 14,13,12,11,10,9,8,7,6,5,4,3, 55
4 14,13,12,11,10,9,8,7,6,5,4, 51
5 14,13,12,11,10,9,8,7,6,5, 43
6 14,13,12,11,10,9,8,7,6, 34
7 14,13,12,11,10,9,8,7, 33
8 14,13,12,11,10,9,8, 24
9 14,13,12,11,10,9, 22
10 14,13,12,11,10, 19
