time =  0.08752846717834473
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
11 11, 1000000000
12 12, 1000000000
13 13, 1000000000
14 14, 1000000000
15 15, 1000000000
16 16, 1000000000
17 17, 1000000000
19 19, 1000000000
20 20, 1000000000
time =  5.133484601974487
0 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 113
1 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 105
2 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 96
3 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 87
4 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 77
5 18,17,16,15,14,13,12,11,10,9,8,7,6,5, 74
6 18,17,16,15,14,13,12,11,10,9,8,7,6, 73
7 18,17,16,15,14,13,12,11,10,9,8,7, 67
8 18,17,16,15,14,13,12,11,10,9,8, 63
9 18,17,16,15,14,13,12,11,10,9, 54
10 18,17,16,15,14,13,12,11,10, 45
11 18,17,16,15,14,13,12,11, 38
12 18,17,16,15,14,13,12, 36
13 18,17,16,15,14,13, 34
14 18,17,16,15,14, 32
15 18,17,16,15, 23
16 18,17,16, 14
17 18,17, 6
19 18,19, 5
20 18,19,20, 10
time =  10.14467167854309
0 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 92
1 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 83
2 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 81
3 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 78
4 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 68
5 18,17,16,15,14,13,12,11,10,9,8,7,6,5, 59
6 18,17,16,15,14,13,12,11,10,9,8,7,6, 49
7 18,17,16,15,14,13,12,11,10,9,8,7, 46
8 18,17,16,15,14,13,12,11,10,9,8, 41
9 18,17,16,15,14,13,12,11,10,9, 40
10 18,17,16,15,14,13,12,11,10, 34
11 18,17,16,15,14,13,12,11, 27
12 18,17,16,15,14,13,12, 22
13 18,17,16,15,14,13, 17
14 18,17,16,15,14, 16
15 18,17,16,15, 13
16 18,17,16, 10
17 18,17, 2
19 18,19, 5
20 18,19,20, 15
time =  15.273439407348633
0 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 118
1 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 113
2 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 109
3 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 103
4 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 98
5 18,17,16,15,14,13,12,11,10,9,8,7,6,5, 93
6 18,17,16,15,14,13,12,11,10,9,8,7,6, 85
7 18,17,16,15,14,13,12,11,10,9,8,7, 75
8 18,17,16,15,14,13,12,11,10,9,8, 66
9 18,17,16,15,14,13,12,11,10,9, 56
10 18,17,16,15,14,13,12,11,10, 50
11 18,17,16,15,14,13,12,11, 40
12 18,17,16,15,14,13,12, 34
13 18,17,16,15,14,13, 28
14 18,17,16,15,14, 27
15 18,17,16,15, 18
16 18,17,16, 13
17 18,17, 8
19 18,19, 3
20 18,19,20, 12
time =  20.293443202972412
0 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 86
1 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 83
2 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 75
3 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 72
4 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 66
5 18,17,16,15,14,13,12,11,10,9,8,7,6,5, 59
6 18,17,16,15,14,13,12,11,10,9,8,7,6, 55
7 18,17,16,15,14,13,12,11,10,9,8,7, 54
8 18,17,16,15,14,13,12,11,10,9,8, 48
9 18,17,16,15,14,13,12,11,10,9, 47
10 18,17,16,15,14,13,12,11,10, 39
11 18,17,16,15,14,13,12,11, 34
12 18,17,16,15,14,13,12, 29
13 18,17,16,15,14,13, 21
14 18,17,16,15,14, 14
15 18,17,16,15, 11
16 18,17,16, 10
17 18,17, 7
19 18,19, 3
20 18,19,20, 5
time =  25.321354389190674
0 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 100
1 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 91
2 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 81
3 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 77
4 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 67
5 18,17,16,15,14,13,12,11,10,9,8,7,6,5, 57
6 18,17,16,15,14,13,12,11,10,9,8,7,6, 54
7 18,17,16,15,14,13,12,11,10,9,8,7, 52
8 18,17,16,15,14,13,12,11,10,9,8, 48
9 18,17,16,15,14,13,12,11,10,9, 46
10 18,17,16,15,14,13,12,11,10, 43
11 18,17,16,15,14,13,12,11, 42
12 18,17,16,15,14,13,12, 37
13 18,17,16,15,14,13, 31
14 18,17,16,15,14, 22
15 18,17,16,15, 17
16 18,17,16, 10
17 18,17, 3
19 18,19, 7
20 18,19,20, 15
time =  30.353603839874268
0 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 120
1 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 111
2 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 101
3 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 97
4 18,17,16,15,14,13,12,11,10,9,8,7,6,5,4, 93
