time =  0.17007803916931152
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
11 11, 1000000000
12 12, 1000000000
14 13,14, 7
15 13,14,15, 16
16 16, 1000000000
17 17, 1000000000
18 18, 1000000000
19 19, 1000000000
20 20, 1000000000
time =  5.21587872505188
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 79
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 71
2 13,12,11,10,9,8,7,6,5,4,3,2, 62
3 13,12,11,10,9,8,7,6,5,4,3, 53
4 13,12,11,10,9,8,7,6,5,4, 43
5 13,12,11,10,9,8,7,6,5, 40
6 13,12,11,10,9,8,7,6, 39
7 13,12,11,10,9,8,7, 33
8 13,12,11,10,9,8, 29
9 13,12,11,10,9, 20
10 13,12,11,10, 11
11 13,12,11, 4
12 13,12, 2
14 13,14, 2
15 13,14,15, 11
16 13,14,15,16, 20
17 13,14,15,16,17, 28
18 13,14,15,16,17,18, 34
19 13,14,15,16,17,18,19, 35
20 13,14,15,16,17,18,19,20, 40
time =  10.258804559707642
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 78
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 69
2 13,12,11,10,9,8,7,6,5,4,3,2, 67
3 13,12,11,10,9,8,7,6,5,4,3, 64
4 13,12,11,10,9,8,7,6,5,4, 54
5 13,12,11,10,9,8,7,6,5, 45
6 13,12,11,10,9,8,7,6, 35
7 13,12,11,10,9,8,7, 32
8 13,12,11,10,9,8, 27
9 13,12,11,10,9, 23
10 13,12,11,10, 17
11 13,12,11, 10
12 13,12, 5
14 13,14, 5
15 13,14,15, 11
16 13,14,15,16, 14
17 13,14,15,16,17, 22
18 13,14,15,16,17,18, 24
19 13,14,15,16,17,18,19, 29
20 13,14,15,16,17,18,19,20, 39
time =  15.298868417739868
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 90
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 85
2 13,12,11,10,9,8,7,6,5,4,3,2, 81
3 13,12,11,10,9,8,7,6,5,4,3, 75
4 13,12,11,10,9,8,7,6,5,4, 70
5 13,12,11,10,9,8,7,6,5, 65
6 13,12,11,10,9,8,7,6, 57
7 13,12,11,10,9,8,7, 47
8 13,12,11,10,9,8, 38
9 13,12,11,10,9, 28
10 13,12,11,10, 22
11 13,12,11, 12
12 13,12, 6
14 13,14, 1
15 13,14,15, 10
16 13,14,15,16, 15
17 13,14,15,16,17, 20
18 13,14,15,16,17,18, 28
19 13,14,15,16,17,18,19, 29
20 13,14,15,16,17,18,19,20, 38
time =  20.324694633483887
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 74
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 71
2 13,12,11,10,9,8,7,6,5,4,3,2, 63
3 13,12,11,10,9,8,7,6,5,4,3, 60
4 13,12,11,10,9,8,7,6,5,4, 54
5 13,12,11,10,9,8,7,6,5, 47
6 13,12,11,10,9,8,7,6, 43
7 13,12,11,10,9,8,7, 42
8 13,12,11,10,9,8, 36
9 13,12,11,10,9, 26
10 13,12,11,10, 18
11 13,12,11, 13
12 13,12, 8
14 13,14, 5
15 13,14,15, 8
16 13,14,15,16, 18
17 13,14,15,16,17, 21
18 13,14,15,16,17,18, 28
19 13,14,15,16,17,18,19, 33
20 13,14,15,16,17,18,19,20, 35
time =  25.388200044631958
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 69
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 60
2 13,12,11,10,9,8,7,6,5,4,3,2, 50
3 13,12,11,10,9,8,7,6,5,4,3, 46
4 13,12,11,10,9,8,7,6,5,4, 36
5 13,12,11,10,9,8,7,6,5, 26
6 13,12,11,10,9,8,7,6, 23
7 13,12,11,10,9,8,7, 21
8 13,12,11,10,9,8, 17
9 13,12,11,10,9, 15
10 13,12,11,10, 12
11 13,12,11, 11
12 13,12, 6
14 13,14, 9
15 13,14,15, 14
16 13,14,15,16, 21
17 13,14,15,16,17, 28
18 13,14,15,16,17,18, 31
19 13,14,15,16,17,18,19, 41
20 13,14,15,16,17,18,19,20, 49
time =  30.41262912750244
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 85
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 76
2 13,12,11,10,9,8,7,6,5,4,3,2, 66
3 13,12,11,10,9,8,7,6,5,4,3, 62
4 13,12,11,10,9,8,7,6,5,4, 58
5 13,12,11,10,9,8,7,6,5, 51
6 13,12,11,10,9,8,7,6, 46
7 13,12,11,10,9,8,7, 36
8 13,12,11,10,9,8, 34
9 13,12,11,10,9, 24
10 13,12,11,10, 21
11 13,12,11, 13
12 13,12, 5
14 13,14, 10
15 13,14,15, 17
16 13,14,15,16, 24
17 13,14,15,16,17, 32
18 13,14,15,16,17,18, 34
19 13,14,15,16,17,18,19, 42
20 13,14,15,16,17,18,19,20, 50
time =  35.428231954574585
0 13,12,11,10,9,8,7,6,5,4,3,2,1,0, 70
1 13,12,11,10,9,8,7,6,5,4,3,2,1, 60
2 13,12,11,10,9,8,7,6,5,4,3,2, 53
3 13,12,11,10,9,8,7,6,5,4,3, 49
4 13,12,11,10,9,8,7,6,5,4, 45
5 13,12,11,10,9,8,7,6,5, 37
6 13,12,11,10,9,8,7,6, 28
7 13,12,11,10,9,8,7, 27
8 13,12,11,10,9,8, 18
9 13,12,11,10,9, 16
10 13,12,11,10, 13
11 13,12,11, 11
12 13,12, 2
14 13,14, 6
15 13,14,15, 13
16 13,14,15,16, 15
17 13,14,15,16,17, 18
18 13,14,15,16,17,18, 24
19 13,14,15,16,17,18,19, 27
