time =  0.15887665748596191
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
12 12, 1000000000
13 13, 1000000000
14 14, 1000000000
15 15, 1000000000
16 16, 1000000000
17 17, 1000000000
18 18, 1000000000
19 19, 1000000000
20 20, 1000000000
time =  5.171859264373779
0 11,10,9,8,7,6,5,4,3,2,1,0, 75
1 11,10,9,8,7,6,5,4,3,2,1, 67
2 11,10,9,8,7,6,5,4,3,2, 58
3 11,10,9,8,7,6,5,4,3, 49
4 11,10,9,8,7,6,5,4, 39
5 11,10,9,8,7,6,5, 36
6 11,10,9,8,7,6, 35
7 11,10,9,8,7, 29
8 11,10,9,8, 25
9 11,10,9, 16
10 11,10, 7
12 11,12, 2
13 11,12,13, 4
14 11,12,13,14, 6
15 11,12,13,14,15, 15
16 11,12,13,14,15,16, 24
17 11,12,13,14,15,16,17, 32
18 11,12,13,14,15,16,17,18, 38
19 11,12,13,14,15,16,17,18,19, 39
20 11,12,13,14,15,16,17,18,19,20, 44
time =  10.21074104309082
0 11,10,9,8,7,6,5,4,3,2,1,0, 67
1 11,10,9,8,7,6,5,4,3,2,1, 58
2 11,10,9,8,7,6,5,4,3,2, 56
3 11,10,9,8,7,6,5,4,3, 53
4 11,10,9,8,7,6,5,4, 43
5 11,10,9,8,7,6,5, 34
6 11,10,9,8,7,6, 24
7 11,10,9,8,7, 21
8 11,10,9,8, 16
9 11,10,9, 15
10 11,10, 7
12 11,12, 1
13 11,12,13, 3
14 11,12,13,14, 4
15 11,12,13,14,15, 7
16 11,12,13,14,15,16, 10
17 11,12,13,14,15,16,17, 18
18 11,12,13,14,15,16,17,18, 19
19 11,12,13,14,15,16,17,18,19, 24
20 11,12,13,14,15,16,17,18,19,20, 34
time =  15.222691059112549
0 11,10,9,8,7,6,5,4,3,2,1,0, 78
1 11,10,9,8,7,6,5,4,3,2,1, 73
2 11,10,9,8,7,6,5,4,3,2, 69
3 11,10,9,8,7,6,5,4,3, 63
4 11,10,9,8,7,6,5,4, 58
5 11,10,9,8,7,6,5, 53
6 11,10,9,8,7,6, 45
7 11,10,9,8,7, 35
8 11,10,9,8, 26
9 11,10,9, 16
10 11,10, 10
12 11,12, 2
13 11,12,13, 8
14 11,12,13,14, 9
15 11,12,13,14,15, 18
16 11,12,13,14,15,16, 23
17 11,12,13,14,15,16,17, 28
18 11,12,13,14,15,16,17,18, 36
19 11,12,13,14,15,16,17,18,19, 37
20 11,12,13,14,15,16,17,18,19,20, 46
time =  20.252307176589966
0 11,10,9,8,7,6,5,4,3,2,1,0, 51
1 11,10,9,8,7,6,5,4,3,2,1, 49
2 11,10,9,8,7,6,5,4,3,2, 40
3 11,10,9,8,7,6,5,4,3, 37
4 11,10,9,8,7,6,5,4, 36
5 11,10,9,8,7,6,5, 26
6 11,10,9,8,7,6, 25
7 11,10,9,8,7, 24
8 11,10,9,8, 14
9 11,10,9, 13
10 11,10, 5
12 11,12, 5
13 11,12,13, 15
14 11,12,13,14, 22
15 11,12,13,14,15, 25
16 11,12,13,14,15,16, 26
17 11,12,13,14,15,16,17, 29
18 11,12,13,14,15,16,17,18, 30
19 11,12,13,14,15,16,17,18,19, 35
20 11,12,13,14,15,16,17,18,19,20, 37
time =  25.2721529006958
0 11,10,9,8,7,6,5,4,3,2,1,0, 63
1 11,10,9,8,7,6,5,4,3,2,1, 54
2 11,10,9,8,7,6,5,4,3,2, 44
3 11,10,9,8,7,6,5,4,3, 40
4 11,10,9,8,7,6,5,4, 30
5 11,10,9,8,7,6,5, 20
6 11,10,9,8,7,6, 17
7 11,10,9,8,7, 15
8 11,10,9,8, 11
9 11,10,9, 9
10 11,10, 6
12 11,12, 10
13 11,12,13, 16
14 11,12,13,14, 25
15 11,12,13,14,15, 30
16 11,12,13,14,15,16, 37
17 11,12,13,14,15,16,17, 44
18 11,12,13,14,15,16,17,18, 47
19 11,12,13,14,15,16,17,18,19, 57
20 11,12,13,14,15,16,17,18,19,20, 65
time =  30.354576110839844
0 11,10,9,8,7,6,5,4,3,2,1,0, 63
1 11,10,9,8,7,6,5,4,3,2,1, 61
2 11,10,9,8,7,6,5,4,3,2, 51
3 11,10,9,8,7,6,5,4,3, 47
4 11,10,9,8,7,6,5,4, 43
5 11,10,9,8,7,6,5, 36
6 11,10,9,8,7,6, 34
7 11,10,9,8,7, 24
8 11,10,9,8, 21
9 11,10,9, 11
10 11,10, 8
12 11,12, 8
13 11,12,13, 16
14 11,12,13,14, 26
15 11,12,13,14,15, 33
16 11,12,13,14,15,16, 40
17 11,12,13,14,15,16,17, 48
18 11,12,13,14,15,16,17,18, 50
19 11,12,13,14,15,16,17,18,19, 58
20 11,12,13,14,15,16,17,18,19,20, 66
time =  35.40892934799194
0 11,10,9,8,7,6,5,4,3,2,1,0, 60
1 11,10,9,8,7,6,5,4,3,2,1, 50
2 11,10,9,8,7,6,5,4,3,2, 43
3 11,10,9,8,7,6,5,4,3, 39
4 11,10,9,8,7,6,5,4, 35
5 11,10,9,8,7,6,5, 27
6 11,10,9,8,7,6, 18
7 11,10,9,8,7, 17
8 11,10,9,8, 8
9 11,10,9, 6
10 11,10, 3
12 11,12, 3
13 11,12,13, 5
14 11,12,13,14, 11
15 11,12,13,14,15, 18
16 11,12,13,14,15,16, 20
17 11,12,13,14,15,16,17, 23
18 11,12,13,14,15,16,17,18, 29
19 11,12,13,14,15,16,17,18,19, 32
20 11,12,13,14,15,16,17,18,19,20, 33
