time =  0.10462713241577148
0 0, 1000000000
1 1, 1000000000
2 2, 1000000000
3 3, 1000000000
4 4, 1000000000
5 5, 1000000000
6 6, 1000000000
7 7, 1000000000
8 8, 1000000000
9 9, 1000000000
10 10, 1000000000
11 11, 1000000000
12 12, 1000000000
13 13, 1000000000
14 14, 1000000000
15 15, 1000000000
16 17,16, 3
18 18, 1000000000
19 19, 1000000000
20 20, 1000000000
time =  5.249385118484497
0 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 107
1 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 99
2 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 90
3 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 81
4 17,16,15,14,13,12,11,10,9,8,7,6,5,4, 71
5 17,16,15,14,13,12,11,10,9,8,7,6,5, 68
6 17,16,15,14,13,12,11,10,9,8,7,6, 67
7 17,16,15,14,13,12,11,10,9,8,7, 61
8 17,16,15,14,13,12,11,10,9,8, 57
9 17,16,15,14,13,12,11,10,9, 48
10 17,16,15,14,13,12,11,10, 39
11 17,16,15,14,13,12,11, 32
12 17,16,15,14,13,12, 30
13 17,16,15,14,13, 28
14 17,16,15,14, 26
15 17,16,15, 17
16 17,16, 8
18 17,18, 6
19 17,18,19, 7
20 17,18,19,20, 12
time =  10.326147079467773
0 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 97
1 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 88
2 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 86
3 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 83
4 17,16,15,14,13,12,11,10,9,8,7,6,5,4, 73
5 17,16,15,14,13,12,11,10,9,8,7,6,5, 64
6 17,16,15,14,13,12,11,10,9,8,7,6, 54
7 17,16,15,14,13,12,11,10,9,8,7, 51
8 17,16,15,14,13,12,11,10,9,8, 46
9 17,16,15,14,13,12,11,10,9, 42
10 17,16,15,14,13,12,11,10, 36
11 17,16,15,14,13,12,11, 29
12 17,16,15,14,13,12, 24
13 17,16,15,14,13, 19
14 17,16,15,14, 18
15 17,16,15, 12
16 17,16, 10
18 17,18, 10
19 17,18,19, 15
20 17,18,19,20, 25
time =  15.344923734664917
0 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 110
1 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 105
2 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 101
3 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 95
4 17,16,15,14,13,12,11,10,9,8,7,6,5,4, 90
5 17,16,15,14,13,12,11,10,9,8,7,6,5, 85
6 17,16,15,14,13,12,11,10,9,8,7,6, 77
7 17,16,15,14,13,12,11,10,9,8,7, 67
8 17,16,15,14,13,12,11,10,9,8, 58
9 17,16,15,14,13,12,11,10,9, 48
10 17,16,15,14,13,12,11,10, 42
11 17,16,15,14,13,12,11, 32
12 17,16,15,14,13,12, 26
13 17,16,15,14,13, 20
14 17,16,15,14, 19
15 17,16,15, 10
16 17,16, 5
18 17,18, 1
19 17,18,19, 2
20 17,18,19,20, 11
time =  20.3664128780365
0 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 86
1 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 83
2 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 75
3 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 72
4 17,16,15,14,13,12,11,10,9,8,7,6,5,4, 66
5 17,16,15,14,13,12,11,10,9,8,7,6,5, 59
6 17,16,15,14,13,12,11,10,9,8,7,6, 55
7 17,16,15,14,13,12,11,10,9,8,7, 54
8 17,16,15,14,13,12,11,10,9,8, 48
9 17,16,15,14,13,12,11,10,9, 47
10 17,16,15,14,13,12,11,10, 39
11 17,16,15,14,13,12,11, 34
12 17,16,15,14,13,12, 29
13 17,16,15,14,13, 21
14 17,16,15,14, 14
15 17,16,15, 11
16 17,16, 10
18 17,18, 5
19 17,18,19, 10
20 17,18,19,20, 12
time =  25.38724374771118
0 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 97
1 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 88
2 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 78
3 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 74
4 17,16,15,14,13,12,11,10,9,8,7,6,5,4, 64
5 17,16,15,14,13,12,11,10,9,8,7,6,5, 54
6 17,16,15,14,13,12,11,10,9,8,7,6, 51
7 17,16,15,14,13,12,11,10,9,8,7, 49
8 17,16,15,14,13,12,11,10,9,8, 45
9 17,16,15,14,13,12,11,10,9, 43
10 17,16,15,14,13,12,11,10, 40
11 17,16,15,14,13,12,11, 39
12 17,16,15,14,13,12, 34
13 17,16,15,14,13, 28
14 17,16,15,14, 19
15 17,16,15, 14
16 17,16, 7
18 17,18, 2
19 17,18,19, 12
20 17,18,19,20, 20
time =  30.40434241294861
0 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0, 117
1 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1, 108
2 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2, 98
3 17,16,15,14,13,12,11,10,9,8,7,6,5,4,3, 94
4 17,16,15,14,13,12,11,10,9,8,7,6,5,4, 90
5 17,16,15,14,13,12,11,10,9,8,7,6,5, 83
6 17,16,15,14,13,12,11,10,9,8,7,6, 78
7 17,16,15,14,13,12,11,10,9,8,7, 68
8 17,16,15,14,13,12,11,10,9,8, 66
9 17,16,15,14,13,12,11,10,9, 56
10 17,16,15,14,13,12,11,10, 53
